,,,,,
//                                  =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
//                                   Thanks for using ZEROPLUS Logic Analyzer
//                                                           Version:V3.12.02
//                                  =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=

//Filename: startup_0.csv
//File size:1764 KB

---------------------------------------------------------------------------------------------------------------------------------
// File created on:  2014/03/12
// Logic Analyzer setup information 
// Sampling mode:Double
//External sampling frequency = 2MHz(Rising)

// RAM size = 256KB
// None Use Data Compression.
// The number of Bus = 1 
// The number of channel = 3 
// Trigger Properties: Trigger position = 0%
//                    Trigger level: 	||A Port = 1.50 V	||B Port = 1.50 V	
//                    Trigger count = 3 
//                    Trigger page= 1 
// Signal Filter setup : Filter Condition lengthens or shortens: no 
//               Delay time: Disable
// \"H\" stands for the signal of high pattern, \"L\" presents the signal of low pattern and \"X\" means don't care.
// Signal Trigger setup : \"D\" stands for don't care, \"H\" presents high pattern and \"L\" means low pattern.
//                       \"R\" means Rising Edge, \"F\" presents Falling Edge, \"E\" stands for Either.
// The display and trigger setup of Bus: According the character of the original file to present.
// The display of message: Total: 131.072ms	Scale:5us	
Keeping the settings is essential to reproduce channels and Buses. 
--------------------------------------------------------------
// Channel name:| Bus1,*A0,*A1,*A2,
// Signal Filter:| X,X,X,X,
// Trigger:| X,R,D,D,
,,,,,
//Sieve out the display of the data.
------------------------------------------------------------------------------------------------
The style of the Data's display of Bus is Hexadecimal.
A Bar position: -16.1255ms 	T Bar position: 0ns 	B Bar position: -11.7505ms
//Channel name,| Bus1,*A0,*A1,*A2,

     -500ns,Unknown,0,0,1,
     0ns,Unknown,1,0,1,
     500ns,Unknown,0,0,1,
     1us,Unknown,1,0,1,
     1.5us,Unknown,0,0,1,
     2us,Unknown,1,0,1,
     2.5us,Unknown,0,0,1,
     3us,Unknown,1,0,1,
     3.5us,Unknown,0,0,1,
     4us,Unknown,1,0,1,
     4.5us,Unknown,0,0,1,
     5us,Unknown,1,0,1,
     5.5us,Unknown,0,0,1,
     6us,Unknown,0,0,1,
     6.5us,Unknown,0,0,1,
     7us,Unknown,0,0,1,
     7.5us,Unknown,0,0,1,
     8us,Unknown,0,0,1,
     8.5us,Unknown,0,0,1,
     9us,Unknown,0,0,1,
     9.5us,Unknown,0,0,1,
     10us,Data=0X0C,1,0,1,
     10.5us,Data=0X0C,0,0,1,
     11us,Data=0X0C,1,0,1,
     11.5us,Data=0X0C,0,0,1,
     12us,Data=0X0C,1,0,1,
     12.5us,Data=0X0C,0,0,1,
     13us,Data=0X0C,1,0,1,
     13.5us,Data=0X0C,0,0,1,
     14us,Data=0X0C,1,1,1,
     14.5us,Data=0X0C,0,1,1,
     15us,Data=0X0C,1,1,1,
     15.5us,Data=0X0C,0,1,1,
     16us,Data=0X0C,1,0,1,
     16.5us,Data=0X0C,0,0,1,
     17us,Unknown,1,0,1,
     17.5us,Unknown,0,0,1,
     18us,Unknown,0,0,1,
     18.5us,Unknown,0,0,1,
     19us,Unknown,0,0,1,
     19.5us,Unknown,0,0,1,
     20us,Unknown,0,0,1,
     20.5us,Unknown,0,0,1,
     21us,Unknown,0,0,1,
