,,,,,
//Sieve out the display of the data.
------------------------------------------------------------------------------------------------
The style of the Data's display of Bus is Hexadecimal.
A Bar position: -16.1255ms 	T Bar position: 0ns 	B Bar position: -11.7505ms
//Channel name,| Bus1,*A0,*A1,*A2,
     90.078ms,Unknown,0,0,1,
     90.0785ms,Unknown,0,0,1,
     90.079ms,Unknown,0,0,1,
     90.0795ms,Unknown,0,0,1,
     90.08ms,Unknown,0,0,1,
     90.0805ms,Unknown,0,0,1,
     90.081ms,Unknown,0,0,1,
     90.0815ms,Unknown,0,0,1,
     90.082ms,Unknown,0,0,1,
     90.0825ms,Unknown,0,0,1,
     90.083ms,Unknown,0,0,1,
     90.0835ms,Unknown,0,0,1,
     90.084ms,Unknown,0,0,1,
     90.0845ms,Unknown,0,0,1,
     90.085ms,Unknown,0,0,1,
     90.0855ms,Unknown,0,0,1,
     90.086ms,Unknown,0,0,1,
     90.0865ms,Unknown,0,0,1,
     90.087ms,Unknown,0,0,1,
     90.0875ms,Unknown,0,0,1,
     90.088ms,Unknown,0,0,1,
     90.0885ms,Unknown,0,0,1,
     90.089ms,Unknown,0,0,1,
     90.0895ms,Unknown,0,0,1,
     90.09ms,Unknown,0,0,1,
     90.0905ms,Unknown,0,0,1,
     90.091ms,Unknown,0,0,1,
     90.0915ms,Unknown,0,0,1,
     90.092ms,Unknown,0,0,1,
     90.0925ms,Unknown,0,0,1,
     90.093ms,Unknown,0,0,1,
     90.0935ms,Unknown,0,0,1,
     90.094ms,Unknown,0,0,1,
     90.0945ms,Unknown,0,0,1,
     90.095ms,Unknown,0,0,1,
     90.0955ms,Unknown,0,0,1,
     90.096ms,Unknown,0,0,1,
     90.0965ms,Unknown,0,0,1,
     90.097ms,Unknown,0,0,1,
     90.0975ms,Unknown,0,0,1,
     90.098ms,Unknown,0,0,1,
     90.0985ms,Unknown,0,0,1,
     90.099ms,Unknown,0,0,1,
     90.0995ms,Unknown,0,0,1,
     90.1ms,Unknown,0,0,1,
     90.1005ms,Unknown,0,0,1,
     90.101ms,Unknown,0,0,1,
     90.1015ms,Unknown,0,0,1,
     90.102ms,Unknown,0,0,1,
     90.1025ms,Unknown,0,0,1,
     90.103ms,Unknown,0,0,1,
     90.1035ms,Unknown,0,0,1,
     90.104ms,Unknown,0,0,1,
     90.1045ms,Unknown,0,0,1,
     90.105ms,Unknown,0,0,1,
     90.1055ms,Unknown,0,0,1,
     90.106ms,Unknown,0,0,1,
     90.1065ms,Unknown,0,0,1,
     90.107ms,Unknown,0,0,1,
     90.1075ms,Unknown,0,0,1,
     90.108ms,Unknown,0,0,1,
     90.1085ms,Unknown,0,0,1,
     90.109ms,Unknown,0,0,1,
     90.1095ms,Unknown,0,0,1,
     90.11ms,Unknown,0,0,1,
     90.1105ms,Unknown,0,0,1,
     90.111ms,Unknown,0,0,1,
     90.1115ms,Unknown,0,0,1,
     90.112ms,Unknown,0,0,1,
     90.1125ms,Unknown,0,0,1,
     90.113ms,Unknown,0,0,1,
     90.1135ms,Unknown,0,0,1,
     90.114ms,Unknown,0,0,1,
     90.1145ms,Unknown,0,0,1,
     90.115ms,Unknown,0,0,1,
     90.1155ms,Unknown,0,0,1,
     90.116ms,Unknown,0,0,1,
     90.1165ms,Unknown,0,0,1,
     90.117ms,Unknown,0,0,1,
     90.1175ms,Unknown,0,0,1,
     90.118ms,Unknown,0,0,1,
     90.1185ms,Unknown,0,0,1,
     90.119ms,Unknown,0,0,1,
     90.1195ms,Unknown,0,0,1,
     90.12ms,Unknown,0,0,1,
     90.1205ms,Unknown,0,0,1,
     90.121ms,Unknown,0,0,1,
     90.1215ms,Unknown,0,0,1,
     90.122ms,Unknown,0,0,1,
     90.1225ms,Unknown,0,0,1,
     90.123ms,Unknown,0,0,1,
     90.1235ms,Unknown,0,0,1,
     90.124ms,Unknown,0,0,1,
     90.1245ms,Unknown,0,0,1,
     90.125ms,Unknown,0,0,1,
     90.1255ms,Unknown,0,0,1,
     90.126ms,Unknown,0,0,1,
     90.1265ms,Unknown,0,0,1,
     90.127ms,Unknown,0,0,1,
     90.1275ms,Unknown,0,0,1,
     90.128ms,Unknown,0,0,1,
     90.1285ms,Unknown,0,0,1,
     90.129ms,Unknown,0,0,1,
     90.1295ms,Unknown,0,0,1,
     90.13ms,Unknown,0,0,1,
     90.1305ms,Unknown,0,0,1,
     90.131ms,Unknown,0,0,1,
     90.1315ms,Unknown,0,0,1,
     90.132ms,Unknown,0,0,1,
     90.1325ms,Unknown,0,0,1,
     90.133ms,Unknown,0,0,1,
     90.1335ms,Unknown,0,0,1,
     90.134ms,Unknown,0,0,1,
     90.1345ms,Unknown,0,0,1,
     90.135ms,Unknown,0,0,1,
     90.1355ms,Unknown,0,0,1,
     90.136ms,Unknown,0,0,1,
     90.1365ms,Unknown,0,0,1,
     90.137ms,Unknown,0,0,1,
     90.1375ms,Unknown,0,0,1,
     90.138ms,Unknown,0,0,1,
     90.1385ms,Unknown,0,0,1,
     90.139ms,Unknown,0,0,1,
     90.1395ms,Unknown,0,0,1,
     90.14ms,Unknown,0,0,1,
     90.1405ms,Unknown,0,0,1,
     90.141ms,Unknown,0,0,1,
     90.1415ms,Unknown,0,0,1,
     90.142ms,Unknown,0,0,1,
     90.1425ms,Unknown,0,0,1,
     90.143ms,Unknown,0,0,1,
     90.1435ms,Unknown,0,0,1,
     90.144ms,Unknown,0,0,1,
     90.1445ms,Unknown,0,0,1,
     90.145ms,Unknown,0,0,1,
     90.1455ms,Unknown,0,0,1,
     90.146ms,Unknown,0,0,1,
     90.1465ms,Unknown,0,0,1,
     90.147ms,Unknown,0,0,1,
     90.1475ms,Unknown,0,0,1,
     90.148ms,Unknown,0,0,1,
     90.1485ms,Unknown,0,0,1,
     90.149ms,Unknown,0,0,1,
     90.1495ms,Unknown,0,0,1,
     90.15ms,Unknown,0,0,1,
     90.1505ms,Unknown,0,0,1,
     90.151ms,Unknown,0,0,1,
     90.1515ms,Unknown,0,0,1,
     90.152ms,Unknown,0,0,1,
     90.1525ms,Unknown,0,0,1,
     90.153ms,Unknown,0,0,1,
     90.1535ms,Unknown,0,0,1,
     90.154ms,Unknown,0,0,1,
     90.1545ms,Unknown,0,0,1,
     90.155ms,Unknown,0,0,1,
     90.1555ms,Unknown,0,0,1,
     90.156ms,Unknown,0,0,1,
     90.1565ms,Unknown,0,0,1,
     90.157ms,Unknown,0,0,1,
     90.1575ms,Unknown,0,0,1,
     90.158ms,Unknown,0,0,1,
     90.1585ms,Unknown,0,0,1,
     90.159ms,Unknown,0,0,1,
     90.1595ms,Unknown,0,0,1,
     90.16ms,Unknown,0,0,1,
     90.1605ms,Unknown,0,0,1,
     90.161ms,Unknown,0,0,1,
     90.1615ms,Unknown,0,0,1,
     90.162ms,Unknown,0,0,1,
     90.1625ms,Unknown,0,0,1,
     90.163ms,Unknown,0,0,1,
     90.1635ms,Unknown,0,0,1,
     90.164ms,Unknown,0,0,1,
     90.1645ms,Unknown,0,0,1,
     90.165ms,Unknown,0,0,1,
     90.1655ms,Unknown,0,0,1,
     90.166ms,Unknown,0,0,1,
     90.1665ms,Unknown,0,0,1,
     90.167ms,Unknown,0,0,1,
     90.1675ms,Unknown,0,0,1,
     90.168ms,Unknown,0,0,1,
     90.1685ms,Unknown,0,0,1,
     90.169ms,Unknown,0,0,1,
     90.1695ms,Unknown,0,0,1,
     90.17ms,Unknown,0,0,1,
     90.1705ms,Unknown,0,0,1,
     90.171ms,Unknown,0,0,1,
     90.1715ms,Unknown,0,0,1,
     90.172ms,Unknown,0,0,1,
     90.1725ms,Unknown,0,0,1,
     90.173ms,Unknown,0,0,1,
     90.1735ms,Unknown,0,0,1,
     90.174ms,Unknown,0,0,1,
     90.1745ms,Unknown,0,0,1,
     90.175ms,Unknown,0,0,1,
     90.1755ms,Unknown,0,0,1,
     90.176ms,Unknown,0,0,1,
     90.1765ms,Unknown,0,0,1,
     90.177ms,Unknown,0,0,1,
     90.1775ms,Unknown,0,0,1,
     90.178ms,Unknown,0,0,1,
     90.1785ms,Unknown,0,0,1,
     90.179ms,Unknown,0,0,1,
     90.1795ms,Unknown,0,0,1,
     90.18ms,Unknown,0,0,1,
     90.1805ms,Unknown,0,0,1,
     90.181ms,Unknown,0,0,1,
     90.1815ms,Unknown,0,0,1,
     90.182ms,Unknown,0,0,1,
     90.1825ms,Unknown,0,0,1,
     90.183ms,Unknown,0,0,1,
     90.1835ms,Unknown,0,0,1,
     90.184ms,Unknown,0,0,1,
     90.1845ms,Unknown,0,0,1,
     90.185ms,Unknown,0,0,1,
     90.1855ms,Unknown,0,0,1,
     90.186ms,Unknown,0,0,1,
     90.1865ms,Unknown,0,0,1,
     90.187ms,Unknown,0,0,1,
     90.1875ms,Unknown,0,0,1,
     90.188ms,Unknown,0,0,1,
