,,,,,,
//Sieve out the display of the data.
------------------------------------------------------------------------------------------------
The style of the Data's display of Bus is Hexadecimal.
A Bar position: 27.6975ms 	T Bar position: 0ns 	B Bar position: 27.8795ms
//Channel name,| Bus1,*A0,*A1,*A2,COUNT,

     30ms,Unknown,0,1,1,1,
     30.0005ms,Unknown,0,1,1,1,
     30.001ms,Unknown,0,1,1,1,
     30.0015ms,Unknown,0,1,1,1,
     30.002ms,Unknown,0,1,1,1,
     30.0025ms,Unknown,0,1,1,1,
     30.003ms,Unknown,0,1,1,1,
     30.0035ms,Unknown,0,1,1,1,
     30.004ms,Unknown,0,1,1,1,
     30.0045ms,Unknown,0,1,1,1,
     30.005ms,Unknown,0,1,1,1,
     30.0055ms,Unknown,0,1,1,1,
     30.006ms,Unknown,0,1,1,1,
     30.0065ms,Unknown,0,1,1,1,
     30.007ms,Unknown,0,1,1,1,
     30.0075ms,Unknown,0,1,1,1,
     30.008ms,Unknown,0,1,1,1,
     30.0085ms,Unknown,0,1,1,1,
     30.009ms,Unknown,0,1,1,1,
     30.0095ms,Unknown,0,1,1,1,
     30.01ms,Unknown,0,1,1,1,
     30.0105ms,Unknown,0,1,1,1,
     30.011ms,Unknown,0,1,1,1,
     30.0115ms,Unknown,0,1,1,1,
     30.012ms,Unknown,0,1,1,1,
     30.0125ms,Unknown,0,1,1,1,
     30.013ms,Unknown,0,1,1,1,
     30.0135ms,Unknown,0,1,1,1,
     30.014ms,Unknown,0,1,1,1,
     30.0145ms,Unknown,0,1,1,1,
     30.015ms,Unknown,0,1,1,1,
     30.0155ms,Unknown,0,1,1,1,
     30.016ms,Unknown,0,1,1,1,
     30.0165ms,Unknown,0,1,1,1,
     30.017ms,Unknown,0,1,1,1,
     30.0175ms,Unknown,0,1,1,1,
     30.018ms,Unknown,0,1,1,1,
     30.0185ms,Unknown,0,1,1,1,
     30.019ms,Unknown,0,1,1,1,
     30.0195ms,Unknown,0,1,1,1,
     30.02ms,Unknown,0,1,1,1,
     30.0205ms,Unknown,0,1,1,1,
     30.021ms,Unknown,0,1,1,1,
     30.0215ms,Unknown,0,1,1,1,
     30.022ms,Unknown,0,1,1,1,
     30.0225ms,Unknown,0,1,1,1,
     30.023ms,Unknown,0,1,1,1,
     30.0235ms,Unknown,0,1,1,1,
     30.024ms,Unknown,0,1,1,1,
     30.0245ms,Unknown,0,1,1,1,
     30.025ms,Unknown,0,1,1,1,
     30.0255ms,Unknown,0,1,1,1,
     30.026ms,Unknown,0,1,1,1,
     30.0265ms,Unknown,0,1,1,1,
     30.027ms,Unknown,0,1,1,1,
     30.0275ms,Unknown,0,1,1,1,
     30.028ms,Unknown,0,1,1,1,
     30.0285ms,Unknown,0,1,1,1,
     30.029ms,Unknown,0,1,1,1,
     30.0295ms,Unknown,0,1,1,1,
     30.03ms,Unknown,0,1,1,1,
     30.0305ms,Unknown,0,1,1,1,
     30.031ms,Unknown,0,1,1,1,
     30.0315ms,Unknown,0,1,1,1,
     30.032ms,Unknown,0,1,1,1,
     30.0325ms,Unknown,0,1,1,1,
     30.033ms,Unknown,0,1,1,1,
     30.0335ms,Unknown,0,1,1,1,
     30.034ms,Unknown,0,1,1,1,
     30.0345ms,Unknown,0,1,1,1,
     30.035ms,Unknown,0,1,1,1,
     30.0355ms,Unknown,0,1,1,1,
     30.036ms,Unknown,0,1,1,1,
     30.0365ms,Unknown,0,1,1,1,
     30.037ms,Unknown,0,1,1,1,
     30.0375ms,Unknown,0,1,1,1,
     30.038ms,Unknown,0,1,1,1,
     30.0385ms,Unknown,0,1,1,1,
     30.039ms,Unknown,0,1,1,1,
     30.0395ms,Unknown,0,1,1,1,
     30.04ms,Unknown,0,1,1,1,
     30.0405ms,Unknown,0,1,1,1,
     30.041ms,Unknown,0,1,1,1,
     30.0415ms,Unknown,0,1,1,1,
     30.042ms,Unknown,0,1,1,1,
     30.0425ms,Unknown,0,1,1,1,
     30.043ms,Unknown,0,1,1,1,
     30.0435ms,Unknown,0,1,1,1,
     30.044ms,Unknown,0,1,1,1,
     30.0445ms,Unknown,0,1,1,1,
     30.045ms,Unknown,0,1,1,1,
     30.0455ms,Unknown,0,1,1,1,
     30.046ms,Unknown,0,1,1,1,
     30.0465ms,Unknown,0,1,1,1,
     30.047ms,Unknown,0,1,1,1,
     30.0475ms,Unknown,0,1,1,1,
     30.048ms,Unknown,0,1,1,1,
     30.0485ms,Unknown,0,1,1,1,
     30.049ms,Unknown,0,1,1,1,
     30.0495ms,Unknown,0,1,1,1,
     30.05ms,Unknown,0,1,1,1,
     30.0505ms,Unknown,0,1,1,1,
     30.051ms,Unknown,0,1,1,1,
     30.0515ms,Unknown,0,1,1,1,
     30.052ms,Unknown,0,1,1,1,
     30.0525ms,Unknown,0,1,1,1,
     30.053ms,Unknown,0,1,1,1,
     30.0535ms,Unknown,0,1,1,1,
     30.054ms,Unknown,0,1,1,1,
     30.0545ms,Unknown,0,1,1,1,
     30.055ms,Unknown,0,1,1,1,
     30.0555ms,Unknown,0,1,1,1,
     30.056ms,Unknown,0,1,1,1,
     30.0565ms,Unknown,0,1,1,1,
     30.057ms,Unknown,0,1,1,1,
     30.0575ms,Unknown,0,1,1,1,
     30.058ms,Unknown,0,1,1,1,
     30.0585ms,Unknown,0,1,1,1,
     30.059ms,Unknown,0,1,1,1,
     30.0595ms,Unknown,0,1,1,1,
     30.06ms,Unknown,0,1,1,1,
     30.0605ms,Unknown,0,1,1,1,
     30.061ms,Unknown,0,1,1,1,
     30.0615ms,Unknown,0,1,1,1,
     30.062ms,Unknown,0,1,1,1,
     30.0625ms,Unknown,0,1,1,1,
     30.063ms,Unknown,0,1,1,1,
     30.0635ms,Unknown,0,1,1,1,
     30.064ms,Unknown,0,1,1,1,
     30.0645ms,Unknown,0,1,1,1,
     30.065ms,Unknown,0,1,1,1,
     30.0655ms,Unknown,0,1,1,1,
     30.066ms,Unknown,0,1,1,1,
     30.0665ms,Unknown,0,1,1,1,
     30.067ms,Unknown,0,1,1,1,
     30.0675ms,Unknown,0,1,1,1,
     30.068ms,Unknown,0,1,1,1,
     30.0685ms,Unknown,0,1,1,1,
     30.069ms,Unknown,0,1,1,1,
     30.0695ms,Unknown,0,1,1,1,
     30.07ms,Unknown,0,1,1,1,
     30.0705ms,Unknown,0,1,1,1,
     30.071ms,Unknown,0,1,1,1,
     30.0715ms,Unknown,0,1,1,1,
     30.072ms,Unknown,0,1,1,1,
     30.0725ms,Unknown,0,1,1,1,
     30.073ms,Unknown,0,1,1,1,
     30.0735ms,Unknown,0,1,1,1,
     30.074ms,Unknown,0,1,1,1,
     30.0745ms,Unknown,0,1,1,1,
     30.075ms,Unknown,0,1,1,1,
     30.0755ms,Unknown,0,1,1,1,
     30.076ms,Unknown,0,1,1,1,
     30.0765ms,Unknown,0,1,1,1,
     30.077ms,Unknown,0,1,1,1,
     30.0775ms,Unknown,0,1,1,1,
     30.078ms,Unknown,0,1,1,1,
     30.0785ms,Unknown,0,1,1,1,
     30.079ms,Unknown,0,1,1,1,
     30.0795ms,Unknown,0,1,1,1,
     30.08ms,Unknown,0,1,1,1,
     30.0805ms,Unknown,0,1,1,1,
     30.081ms,Unknown,0,1,1,1,
     30.0815ms,Unknown,0,1,1,1,
     30.082ms,Unknown,0,1,1,1,
     30.0825ms,Unknown,0,1,1,1,
     30.083ms,Unknown,0,1,1,1,
     30.0835ms,Unknown,0,1,1,1,
     30.084ms,Unknown,0,1,1,1,
     30.0845ms,Unknown,0,1,1,1,
     30.085ms,Unknown,0,1,1,1,
     30.0855ms,Unknown,0,1,1,1,
     30.086ms,Unknown,0,1,1,1,
     30.0865ms,Unknown,0,1,1,1,
     30.087ms,Unknown,0,1,1,1,
     30.0875ms,Unknown,0,1,1,1,
     30.088ms,Unknown,0,1,1,1,
     30.0885ms,Unknown,0,1,1,1,
     30.089ms,Unknown,0,1,1,1,
     30.0895ms,Unknown,0,1,1,1,
     30.09ms,Unknown,0,1,1,1,
     30.0905ms,Unknown,0,1,1,1,
     30.091ms,Unknown,0,1,1,1,
     30.0915ms,Unknown,0,1,1,1,
     30.092ms,Unknown,0,1,1,1,
     30.0925ms,Unknown,0,1,1,1,
     30.093ms,Unknown,0,1,1,1,
     30.0935ms,Unknown,0,1,1,1,
     30.094ms,Unknown,0,1,1,1,
     30.0945ms,Unknown,0,1,1,1,
     30.095ms,Unknown,0,1,1,1,
     30.0955ms,Unknown,0,1,1,1,
     30.096ms,Unknown,0,1,1,1,
     30.0965ms,Unknown,0,1,1,1,
     30.097ms,Unknown,0,1,1,1,
     30.0975ms,Unknown,0,1,1,1,
     30.098ms,Unknown,0,1,1,1,
     30.0985ms,Unknown,0,1,1,1,
     30.099ms,Unknown,0,1,1,1,
     30.0995ms,Unknown,0,1,1,1,
     30.1ms,Unknown,0,1,1,1,
     30.1005ms,Unknown,0,1,1,1,
     30.101ms,Unknown,0,1,1,1,
     30.1015ms,Unknown,0,1,1,1,
     30.102ms,Unknown,0,1,1,1,
     30.1025ms,Unknown,0,1,1,1,
     30.103ms,Unknown,0,1,1,1,
     30.1035ms,Unknown,0,1,1,1,
     30.104ms,Unknown,0,1,1,1,
     30.1045ms,Unknown,0,1,1,1,
     30.105ms,Unknown,0,1,1,1,
     30.1055ms,Unknown,0,1,1,1,
     30.106ms,Unknown,0,1,1,1,
     30.1065ms,Unknown,0,1,1,1,
     30.107ms,Unknown,0,1,1,1,
     30.1075ms,Unknown,0,1,1,1,
     30.108ms,Unknown,0,1,1,1,
     30.1085ms,Unknown,0,1,1,1,
     30.109ms,Unknown,0,1,1,1,
     30.1095ms,Unknown,0,1,1,1,
     30.11ms,Unknown,0,1,1,1,
     30.1105ms,Unknown,0,1,1,1,
     30.111ms,Unknown,0,1,1,1,
     30.1115ms,Unknown,0,1,1,1,
     30.112ms,Unknown,0,1,1,1,
     30.1125ms,Unknown,0,1,1,1,
     30.113ms,Unknown,0,1,1,1,
     30.1135ms,Unknown,0,1,1,1,
     30.114ms,Unknown,0,1,1,1,
     30.1145ms,Unknown,0,1,1,1,
     30.115ms,Unknown,0,1,1,1,
     30.1155ms,Unknown,0,1,1,1,
     30.116ms,Unknown,0,1,1,1,
     30.1165ms,Unknown,0,1,1,1,
     30.117ms,Unknown,0,1,1,1,
     30.1175ms,Unknown,0,1,1,1,
     30.118ms,Unknown,0,1,1,1,
     30.1185ms,Unknown,0,1,1,1,
     30.119ms,Unknown,0,1,1,1,
     30.1195ms,Unknown,0,1,1,1,
     30.12ms,Unknown,0,1,1,1,
     30.1205ms,Unknown,0,1,1,1,
     30.121ms,Unknown,0,1,1,1,
     30.1215ms,Unknown,0,1,1,1,
     30.122ms,Unknown,0,1,1,1,
     30.1225ms,Unknown,0,1,1,1,
     30.123ms,Unknown,0,1,1,1,
     30.1235ms,Unknown,0,1,1,1,
     30.124ms,Unknown,0,1,1,1,
     30.1245ms,Unknown,0,1,1,1,
     30.125ms,Unknown,0,1,1,1,
     30.1255ms,Unknown,0,1,1,1,
     30.126ms,Unknown,0,1,1,1,
     30.1265ms,Unknown,0,1,1,1,
     30.127ms,Unknown,0,1,1,1,
     30.1275ms,Unknown,0,1,1,1,
     30.128ms,Unknown,0,1,1,1,
     30.1285ms,Unknown,0,1,1,1,
     30.129ms,Unknown,0,1,1,1,
     30.1295ms,Unknown,0,1,1,1,
     30.13ms,Unknown,0,1,1,1,
     30.1305ms,Unknown,0,1,1,1,
     30.131ms,Unknown,0,1,1,1,
     30.1315ms,Unknown,0,1,1,1,
     30.132ms,Unknown,0,1,1,1,
     30.1325ms,Unknown,0,1,1,1,
     30.133ms,Unknown,0,1,1,1,
     30.1335ms,Unknown,0,1,1,1,
     30.134ms,Unknown,0,1,1,1,
     30.1345ms,Unknown,0,1,1,1,
     30.135ms,Unknown,0,1,1,1,
     30.1355ms,Unknown,0,1,1,1,
     30.136ms,Unknown,0,1,1,1,
     30.1365ms,Unknown,0,1,1,1,
     30.137ms,Unknown,0,1,1,1,
     30.1375ms,Unknown,0,1,1,1,
     30.138ms,Unknown,0,1,1,1,
     30.1385ms,Unknown,0,1,1,1,
     30.139ms,Unknown,0,1,1,1,
     30.1395ms,Unknown,0,1,1,1,
     30.14ms,Unknown,0,1,1,1,
     30.1405ms,Unknown,0,1,1,1,
     30.141ms,Unknown,0,1,1,1,
     30.1415ms,Unknown,0,1,1,1,
     30.142ms,Unknown,0,1,1,1,
     30.1425ms,Unknown,0,1,1,1,
     30.143ms,Unknown,0,1,1,1,
     30.1435ms,Unknown,0,1,1,1,
     30.144ms,Unknown,0,1,1,1,
     30.1445ms,Unknown,0,1,1,1,
     30.145ms,Unknown,0,1,1,1,
     30.1455ms,Unknown,0,1,1,1,
     30.146ms,Unknown,0,1,1,1,
     30.1465ms,Unknown,0,1,1,1,
     30.147ms,Unknown,0,1,1,1,
     30.1475ms,Unknown,0,1,1,1,
     30.148ms,Unknown,0,1,1,1,
     30.1485ms,Unknown,0,1,1,1,
     30.149ms,Unknown,0,1,1,1,
     30.1495ms,Unknown,0,1,1,1,
     30.15ms,Unknown,0,1,1,1,
     30.1505ms,Unknown,0,1,1,1,
     30.151ms,Unknown,0,1,1,1,
     30.1515ms,Unknown,0,1,1,1,
     30.152ms,Unknown,0,1,1,1,
     30.1525ms,Unknown,0,1,1,1,
     30.153ms,Unknown,0,1,1,1,
     30.1535ms,Unknown,0,1,1,1,
     30.154ms,Unknown,0,1,1,1,
     30.1545ms,Unknown,0,1,1,1,
     30.155ms,Unknown,0,1,1,1,
     30.1555ms,Unknown,0,1,1,1,
     30.156ms,Unknown,0,1,1,1,
     30.1565ms,Unknown,0,1,1,1,
     30.157ms,Unknown,0,1,1,1,
     30.1575ms,Unknown,0,1,1,1,
     30.158ms,Unknown,0,1,1,1,
     30.1585ms,Unknown,0,1,1,1,
     30.159ms,Unknown,0,1,1,1,
     30.1595ms,Unknown,0,1,1,1,
     30.16ms,Unknown,0,1,1,1,
     30.1605ms,Unknown,0,1,1,1,
     30.161ms,Unknown,0,1,1,1,
     30.1615ms,Unknown,0,1,1,1,
     30.162ms,Unknown,0,1,1,1,
     30.1625ms,Unknown,0,1,1,1,
     30.163ms,Unknown,0,1,1,1,
     30.1635ms,Unknown,0,1,1,1,
     30.164ms,Unknown,0,1,1,1,
     30.1645ms,Unknown,0,1,1,1,
     30.165ms,Unknown,0,1,1,1,
     30.1655ms,Unknown,0,1,1,1,
     30.166ms,Unknown,0,1,1,1,
     30.1665ms,Unknown,0,1,1,1,
     30.167ms,Unknown,0,1,1,1,
     30.1675ms,Unknown,0,1,1,1,
     30.168ms,Unknown,0,1,1,1,
     30.1685ms,Unknown,0,1,1,1,
     30.169ms,Unknown,0,1,1,1,
     30.1695ms,Unknown,0,1,1,1,
     30.17ms,Unknown,0,1,1,1,
     30.1705ms,Unknown,0,1,1,1,
     30.171ms,Unknown,0,1,1,1,
     30.1715ms,Unknown,0,1,1,1,
     30.172ms,Unknown,0,1,1,1,
     30.1725ms,Unknown,0,1,1,1,
     30.173ms,Unknown,0,1,1,1,
     30.1735ms,Unknown,0,1,1,1,
     30.174ms,Unknown,0,1,1,1,
     30.1745ms,Unknown,0,1,1,1,
     30.175ms,Unknown,0,1,1,1,
     30.1755ms,Unknown,0,1,1,1,
