,,,,,,
//Sieve out the display of the data.
------------------------------------------------------------------------------------------------
The style of the Data's display of Bus is Hexadecimal.
A Bar position: 27.6975ms 	T Bar position: 0ns 	B Bar position: 27.8795ms
//Channel name,| Bus1,*A0,*A1,*A2,COUNT,
     60.071ms,Unknown,0,1,1,1,
     60.0715ms,Unknown,0,1,1,1,
     60.072ms,Unknown,0,1,1,1,
     60.0725ms,Unknown,0,1,1,1,
     60.073ms,Unknown,0,1,1,1,
     60.0735ms,Unknown,0,1,1,1,
     60.074ms,Unknown,0,1,1,1,
     60.0745ms,Unknown,0,1,1,1,
     60.075ms,Unknown,0,1,1,1,
     60.0755ms,Unknown,0,1,1,1,
     60.076ms,Unknown,0,1,1,1,
     60.0765ms,Unknown,0,1,1,1,
     60.077ms,Unknown,0,1,1,1,
     60.0775ms,Unknown,0,1,1,1,
     60.078ms,Unknown,0,1,1,1,
     60.0785ms,Unknown,0,1,1,1,
     60.079ms,Unknown,0,1,1,1,
     60.0795ms,Unknown,0,1,1,1,
     60.08ms,Unknown,0,1,1,1,
     60.0805ms,Unknown,0,1,1,1,
     60.081ms,Unknown,0,1,1,1,
     60.0815ms,Unknown,0,1,1,1,
     60.082ms,Unknown,0,1,1,1,
     60.0825ms,Unknown,0,1,1,1,
     60.083ms,Unknown,0,1,1,1,
     60.0835ms,Unknown,0,1,1,1,
     60.084ms,Unknown,0,1,1,1,
     60.0845ms,Unknown,0,1,1,1,
     60.085ms,Unknown,0,1,1,1,
     60.0855ms,Unknown,0,1,1,1,
     60.086ms,Unknown,0,1,1,1,
     60.0865ms,Unknown,0,1,1,1,
     60.087ms,Unknown,0,1,1,1,
     60.0875ms,Unknown,0,1,1,1,
     60.088ms,Unknown,0,1,1,1,
     60.0885ms,Unknown,0,1,1,1,
     60.089ms,Unknown,0,1,1,1,
     60.0895ms,Unknown,0,1,1,1,
     60.09ms,Unknown,0,1,1,1,
     60.0905ms,Unknown,0,1,1,1,
     60.091ms,Unknown,0,1,1,1,
     60.0915ms,Unknown,0,1,1,1,
     60.092ms,Unknown,0,1,1,1,
     60.0925ms,Unknown,0,1,1,1,
     60.093ms,Unknown,0,1,1,1,
     60.0935ms,Unknown,0,1,1,1,
     60.094ms,Unknown,0,1,1,1,
     60.0945ms,Unknown,0,1,1,1,
     60.095ms,Unknown,0,1,1,1,
     60.0955ms,Unknown,0,1,1,1,
     60.096ms,Unknown,0,1,1,1,
     60.0965ms,Unknown,0,1,1,1,
     60.097ms,Unknown,0,1,1,1,
     60.0975ms,Unknown,0,1,1,1,
     60.098ms,Unknown,0,1,1,1,
     60.0985ms,Unknown,0,1,1,1,
     60.099ms,Unknown,0,1,1,1,
     60.0995ms,Unknown,0,1,1,1,
     60.1ms,Unknown,0,1,1,1,
     60.1005ms,Unknown,0,1,1,1,
     60.101ms,Unknown,0,1,1,1,
     60.1015ms,Unknown,0,1,1,1,
     60.102ms,Unknown,0,1,1,1,
     60.1025ms,Unknown,0,1,1,1,
     60.103ms,Unknown,0,1,1,1,
     60.1035ms,Unknown,0,1,1,1,
     60.104ms,Unknown,0,1,1,1,
     60.1045ms,Unknown,0,1,1,1,
     60.105ms,Unknown,0,1,1,1,
     60.1055ms,Unknown,0,1,1,1,
     60.106ms,Unknown,0,1,1,1,
     60.1065ms,Unknown,0,1,1,1,
     60.107ms,Unknown,0,1,1,1,
     60.1075ms,Unknown,0,1,1,1,
     60.108ms,Unknown,0,1,1,1,
     60.1085ms,Unknown,0,1,1,1,
     60.109ms,Unknown,0,1,1,1,
     60.1095ms,Unknown,0,1,1,1,
     60.11ms,Unknown,0,1,1,1,
     60.1105ms,Unknown,0,1,1,1,
     60.111ms,Unknown,0,1,1,1,
     60.1115ms,Unknown,0,1,1,1,
     60.112ms,Unknown,0,1,1,1,
     60.1125ms,Unknown,0,1,1,1,
     60.113ms,Unknown,0,1,1,1,
     60.1135ms,Unknown,0,1,1,1,
     60.114ms,Unknown,0,1,1,1,
     60.1145ms,Unknown,0,1,1,1,
     60.115ms,Unknown,0,1,1,1,
     60.1155ms,Unknown,0,1,1,1,
     60.116ms,Unknown,0,1,1,1,
     60.1165ms,Unknown,0,1,1,1,
     60.117ms,Unknown,0,1,1,1,
     60.1175ms,Unknown,0,1,1,1,
     60.118ms,Unknown,0,1,1,1,
     60.1185ms,Unknown,0,1,1,1,
     60.119ms,Unknown,0,1,1,1,
     60.1195ms,Unknown,0,1,1,1,
     60.12ms,Unknown,0,1,1,1,
     60.1205ms,Unknown,0,1,1,1,
     60.121ms,Unknown,0,1,1,1,
     60.1215ms,Unknown,0,1,1,1,
     60.122ms,Unknown,0,1,1,1,
     60.1225ms,Unknown,0,1,1,1,
     60.123ms,Unknown,0,1,1,1,
     60.1235ms,Unknown,0,1,1,1,
     60.124ms,Unknown,0,1,1,1,
     60.1245ms,Unknown,0,1,1,1,
     60.125ms,Unknown,0,1,1,1,
     60.1255ms,Unknown,0,1,1,1,
     60.126ms,Unknown,0,1,1,1,
     60.1265ms,Unknown,0,1,1,1,
     60.127ms,Unknown,0,1,1,1,
     60.1275ms,Unknown,0,1,1,1,
     60.128ms,Unknown,0,1,1,1,
     60.1285ms,Unknown,0,1,1,1,
     60.129ms,Unknown,0,1,1,1,
     60.1295ms,Unknown,0,1,1,1,
     60.13ms,Unknown,0,1,1,1,
     60.1305ms,Unknown,0,1,1,1,
     60.131ms,Unknown,0,1,1,1,
     60.1315ms,Unknown,0,1,1,1,
     60.132ms,Unknown,0,1,1,1,
     60.1325ms,Unknown,0,1,1,1,
     60.133ms,Unknown,0,1,1,1,
     60.1335ms,Unknown,0,1,1,1,
     60.134ms,Unknown,0,1,1,1,
     60.1345ms,Unknown,0,1,1,1,
     60.135ms,Unknown,0,1,1,1,
     60.1355ms,Unknown,0,1,1,1,
     60.136ms,Unknown,0,1,1,1,
     60.1365ms,Unknown,0,1,1,1,
     60.137ms,Unknown,0,1,1,1,
     60.1375ms,Unknown,0,1,1,1,
     60.138ms,Unknown,0,1,1,1,
     60.1385ms,Unknown,0,1,1,1,
     60.139ms,Unknown,0,1,1,1,
     60.1395ms,Unknown,0,1,1,1,
     60.14ms,Unknown,0,1,1,1,
     60.1405ms,Unknown,0,1,1,1,
     60.141ms,Unknown,0,1,1,1,
     60.1415ms,Unknown,0,1,1,1,
     60.142ms,Unknown,0,1,1,1,
     60.1425ms,Unknown,0,1,1,1,
     60.143ms,Unknown,0,1,1,1,
     60.1435ms,Unknown,0,1,1,1,
     60.144ms,Unknown,0,1,1,1,
     60.1445ms,Unknown,0,1,1,1,
     60.145ms,Unknown,0,1,1,1,
     60.1455ms,Unknown,0,1,1,1,
     60.146ms,Unknown,0,1,1,1,
     60.1465ms,Unknown,0,1,1,1,
     60.147ms,Unknown,0,1,1,1,
     60.1475ms,Unknown,0,1,1,1,
     60.148ms,Unknown,0,1,1,1,
     60.1485ms,Unknown,0,1,1,1,
     60.149ms,Unknown,0,1,1,1,
     60.1495ms,Unknown,0,1,1,1,
     60.15ms,Unknown,0,1,1,1,
     60.1505ms,Unknown,0,1,1,1,
     60.151ms,Unknown,0,1,1,1,
     60.1515ms,Unknown,0,1,1,1,
     60.152ms,Unknown,0,1,1,1,
     60.1525ms,Unknown,0,1,1,1,
     60.153ms,Unknown,0,1,1,1,
     60.1535ms,Unknown,0,1,1,1,
     60.154ms,Unknown,0,1,1,1,
     60.1545ms,Unknown,0,1,1,1,
     60.155ms,Unknown,0,1,1,1,
     60.1555ms,Unknown,0,1,1,1,
     60.156ms,Unknown,0,1,1,1,
     60.1565ms,Unknown,0,1,1,1,
     60.157ms,Unknown,0,1,1,1,
     60.1575ms,Unknown,0,1,1,1,
     60.158ms,Unknown,0,1,1,1,
     60.1585ms,Unknown,0,1,1,1,
     60.159ms,Unknown,0,1,1,1,
     60.1595ms,Unknown,0,1,1,1,
     60.16ms,Unknown,0,1,1,1,
     60.1605ms,Unknown,0,1,1,1,
     60.161ms,Unknown,0,1,1,1,
     60.1615ms,Unknown,0,1,1,1,
     60.162ms,Unknown,0,1,1,1,
     60.1625ms,Unknown,0,1,1,1,
     60.163ms,Unknown,0,1,1,1,
     60.1635ms,Unknown,0,1,1,1,
     60.164ms,Unknown,0,1,1,1,
     60.1645ms,Unknown,0,1,1,1,
     60.165ms,Unknown,0,1,1,1,
