Time[s], Channel 0
-0.012682875000000, 1
-0.000025625000000, 0
0.000000000000000, 1
0.001644875000000, 0
0.001670375000000, 1
0.008306500000000, 0
0.008332125000000, 1
0.028308875000000, 0
0.028334500000000, 1
0.029977000000000, 0
0.030002500000000, 1
0.036770375000000, 0
0.036796000000000, 1
0.056772875000000, 0
0.056798375000000, 1
0.058307625000000, 0
0.058333250000000, 1
0.064980500000000, 0
0.065006125000000, 1
0.084982875000000, 0
0.085008500000000, 1
0.086653375000000, 0
0.086679000000000, 1
0.093312125000000, 0
0.093337750000000, 1
0.113314500000000, 0
0.113340125000000, 1
0.114984875000000, 0
0.115010375000000, 1
0.121659000000000, 0
0.121684625000000, 1
0.141661375000000, 0
0.141687000000000, 1
0.143313125000000, 0
0.143338625000000, 1
0.150113250000000, 0
0.150138875000000, 1
0.170115750000000, 0
0.170141375000000, 1
0.171652875000000, 0
0.171678500000000, 1
0.178317750000000, 0
0.178343250000000, 1
0.198320125000000, 0
0.198345750000000, 1
0.199993375000000, 0
0.200019000000000, 1
0.206657500000000, 0
0.206683125000000, 1
0.226659875000000, 0
0.226685500000000, 1
0.228317750000000, 0
0.228343375000000, 1
0.234997000000000, 0
0.235022625000000, 1
0.254999375000000, 0
0.255025000000000, 1
0.256657500000000, 0
0.256683125000000, 1
0.263442250000000, 0
0.263467750000000, 1
0.283444625000000, 0
0.283470250000000, 1
0.285002000000000, 0
0.285027625000000, 1
0.291662125000000, 0
0.291687625000000, 1
0.311664500000000, 0
0.311690125000000, 1
0.313323250000000, 0
0.313348875000000, 1
0.320005500000000, 0
0.320031125000000, 1
0.340007875000000, 0
0.340033500000000, 1
0.341663125000000, 0
0.341688750000000, 1
0.348327750000000, 0
0.348353375000000, 1
0.368330125000000, 0
0.368355750000000, 1
0.369993000000000, 0
0.370018625000000, 1
0.376786625000000, 0
0.376812250000000, 1
0.396789125000000, 0
0.396814750000000, 1
0.398327750000000, 0
0.398353375000000, 1
0.404997500000000, 0
0.405023125000000, 1
0.424999875000000, 0
0.425025500000000, 1
0.426667625000000, 0
0.426693250000000, 1
0.433332250000000, 0
0.433357875000000, 1
