Time[s], Channel 0
-0.011204000000000, 1
-0.000025625000000, 0
0.000000000000000, 1
0.001531125000000, 0
0.001556708333333, 1
0.008186875000000, 0
0.008212458333333, 1
0.028189250000000, 0
0.028214833333333, 1
0.029852958333333, 0
0.029878541666667, 1
0.036535583333333, 0
0.036561166666667, 1
0.056537916666667, 0
0.056563541666667, 1
0.058187750000000, 0
0.058213375000000, 1
0.064857416666667, 0
0.064883000000000, 1
0.084859791666667, 0
0.084885375000000, 1
0.086536541666667, 0
0.086562166666667, 1
0.093312125000000, 0
0.093337708333333, 1
0.113314458333333, 0
0.113340083333333, 1
0.114857250000000, 0
0.114882833333333, 1
0.121540958333333, 0
0.121566541666667, 1
0.141543291666667, 0
0.141568916666667, 1
0.143288166666667, 0
0.143313750000000, 1
0.149861666666667, 0
0.149887291666667, 1
0.169864041666667, 0
0.169889666666667, 1
0.171541833333333, 0
0.171567416666667, 1
0.178293541666667, 0
0.178319166666667, 1
0.198295916666667, 0
0.198321500000000, 1
0.199862666666667, 0
0.199888250000000, 1
0.206651375000000, 0
0.206676958333333, 1
0.226653708333333, 0
0.226679333333333, 1
0.228296375000000, 0
0.228321958333333, 1
0.234867041666667, 0
0.234892666666667, 1
0.254869416666667, 0
0.254895000000000, 1
0.256532166666667, 0
0.256557791666667, 1
0.263301875000000, 0
0.263327458333333, 1
0.283304250000000, 0
0.283329833333333, 1
0.284875958333333, 0
0.284901583333333, 1
0.291550625000000, 0
0.291576208333333, 1
0.311552958333333, 0
0.311578583333333, 1
0.313304875000000, 0
0.313330458333333, 1
0.319991458333333, 0
0.320017041666667, 1
0.339993791666667, 0
0.340019416666667, 1
0.341539583333333, 0
0.341565166666667, 1
0.348310166666667, 0
0.348335750000000, 1
0.368312500000000, 0
0.368338125000000, 1
0.369881416666667, 0
0.369907000000000, 1
0.376543041666667, 0
0.376568625000000, 1
0.396545375000000, 0
0.396571000000000, 1
0.398208083333333, 0
0.398233666666667, 1
0.404876708333333, 0
0.404902291666667, 1
0.424879083333333, 0
0.424904666666667, 1
0.426547916666667, 0
0.426573541666667, 1
0.433333625000000, 0
0.433359208333333, 1
0.453335958333333, 0
0.453361583333333, 1
0.454877666666667, 0
0.454903250000000, 1
0.461551333333333, 0
0.461576916666667, 1
0.481553708333333, 0
0.481579291666667, 1
0.483216416666667, 0
0.483242041666667, 1
0.489882125000000, 0
0.489907708333333, 1
0.509884500000000, 0
0.509910083333333, 1
0.511548500000000, 0
0.511574125000000, 1
