Time [s],Packet ID,MOSI,MISO
0.000000000000000,0,0x00,
0.000011500000000,0,0x41,
0.000022500000000,0,0xBF,
0.000033500000000,0,0xE2,
0.000044500000000,0,0x52,
0.000412000000000,1,0x00,
0.000423000000000,1,0x41,
0.000434000000000,1,0xBF,
0.000445000000000,1,0xE2,
0.000456000000000,1,0x55,
0.020798000000000,2,0x00,
0.020810000000000,2,0x41,
0.020821500000000,2,0xBF,
0.020833000000000,2,0xE2,
0.020844500000000,2,0x54,
0.041048750000000,3,0x00,
0.041060250000000,3,0x41,
0.041071250000000,3,0xBF,
0.041082250000000,3,0xE2,
0.041093250000000,3,0x52,
0.041382250000000,4,0x00,
0.041393250000000,4,0x41,
0.041404250000000,4,0xBF,
0.041415250000000,4,0xE2,
0.041426250000000,4,0x55,
0.044808250000000,5,0x00,
0.044820250000000,5,0x41,
0.044831750000000,5,0xBF,
0.044843250000000,5,0xE2,
0.044854750000000,5,0x54,
0.055197000000000,6,0x00,
0.055208500000000,6,0x41,
0.055219500000000,6,0xBF,
0.055230500000000,6,0xE2,
0.055241500000000,6,0x52,
0.055530250000000,7,0x00,
0.055541250000000,7,0x41,
0.055552250000000,7,0xBF,
0.055563250000000,7,0xE2,
0.055574250000000,7,0x55,
0.058310500000000,7,0x00,
0.058322000000000,7,0x41,
0.058333000000000,7,0xBF,
0.058344000000000,7,0xE2,
0.058355000000000,7,0x56,
0.058567500000000,7,0x00,
0.058578500000000,7,0x01,
0.058589500000000,7,0xBF,
0.058600500000000,7,0xE2,
0.058611500000000,7,0x92,
0.059115000000000,8,0x00,
0.059126500000000,8,0x01,
0.059137500000000,8,0xBF,
0.059148500000000,8,0xE2,
0.059159500000000,8,0x9A,
0.059322500000000,9,0x00,
0.059333500000000,9,0x01,
0.059344500000000,9,0xFF,
0.059355500000000,9,0xE2,
0.059366500000000,9,0x9A,
0.059586000000000,10,0x00,
0.059597000000000,10,0x01,
0.059608000000000,10,0xFF,
0.059619000000000,10,0xE2,
0.059970500000000,10,0x9D,
0.064818500000000,11,0x00,
0.064830500000000,11,0x01,
0.064842000000000,11,0xFF,
0.064853500000000,11,0xE2,
0.064865000000000,11,0x9C,
0.085069750000000,12,0x00,
0.085081250000000,12,0x01,
0.085092250000000,12,0xBF,
0.085103250000000,12,0xE2,
0.085114250000000,12,0x9A,
0.085509500000000,13,0x00,
0.085520500000000,13,0x11,
0.085531500000000,13,0xBF,
0.085542500000000,13,0xE2,
0.085553500000000,13,0x92,
0.086063500000000,14,0x00,
0.086075000000000,14,0x11,
0.086086000000000,14,0xFF,
0.086097000000000,14,0xE2,
0.086108000000000,14,0x92,
0.100086750000000,15,0x00,
0.100098250000000,15,0x11,
0.100109250000000,15,0xFF,
0.100120250000000,15,0xE2,
0.100131250000000,15,0x95,
0.100833250000000,16,0x00,
0.100845250000000,16,0x11,
0.100856750000000,16,0xFF,
0.100868250000000,16,0xE2,
0.100879750000000,16,0x94,
0.121076750000000,17,0x00,
0.121088250000000,17,0x11,
0.121099250000000,17,0xBF,
0.121110250000000,17,0xE2,
0.121121250000000,17,0x92,
0.121488250000000,18,0x00,
0.121499250000000,18,0x41,
0.121510250000000,18,0xBF,
0.121521250000000,18,0xE2,
0.121532250000000,18,0x92,
0.122098750000000,19,0x00,
0.122110250000000,19,0x41,
0.122121250000000,19,0xBF,
0.122132250000000,19,0xE2,
0.122143250000000,19,0x95,
0.127845750000000,20,0x00,
0.127857750000000,20,0x41,
0.127869250000000,20,0xBF,
0.127880750000000,20,0xE2,
0.127892250000000,20,0x94,
0.148119750000000,21,0x00,
0.148131250000000,21,0x41,
0.148142250000000,21,0xBF,
0.148153250000000,21,0xE2,
0.148164250000000,21,0x52,
0.148531750000000,22,0x00,
0.148542750000000,22,0x41,
0.148553750000000,22,0xBF,
0.148564750000000,22,0xE2,
0.148575750000000,22,0x55,
0.154856750000000,23,0x00,
0.154868750000000,23,0x41,
0.154880250000000,23,0xBF,
0.154891750000000,23,0xE2,
0.154903250000000,23,0x54,
0.175071750000000,24,0x00,
0.175083250000000,24,0x41,
0.175094250000000,24,0xBF,
0.175105250000000,24,0xE2,
0.175116250000000,24,0x52,
0.175481750000000,25,0x00,
0.175492750000000,25,0x41,
0.175503750000000,25,0xBF,
0.175514750000000,25,0xE2,
0.175525750000000,25,0x55,
0.195869500000000,26,0x00,
0.195881500000000,26,0x41,
0.195893000000000,26,0xBF,
0.195904500000000,26,0xE2,
0.195916000000000,26,0x54,
0.216113000000000,27,0x00,
0.216124500000000,27,0x41,
0.216135500000000,27,0xBF,
0.216146500000000,27,0xE2,
0.216157500000000,27,0x52,
0.216446500000000,28,0x00,
0.216457500000000,28,0x41,
0.216468500000000,28,0xBF,
0.216479500000000,28,0xE2,
0.216490500000000,28,0x55,
0.219878750000000,29,0x00,
0.219890750000000,29,0x41,
0.219902250000000,29,0xBF,
0.219913750000000,29,0xE2,
0.219925250000000,29,0x54,
0.230269250000000,30,0x00,
0.230280750000000,30,0x41,
0.230291750000000,30,0xBF,
0.230302750000000,30,0xE2,
0.230313750000000,30,0x52,
0.230602750000000,31,0x00,
0.230613750000000,31,0x41,
0.230624750000000,31,0xBF,
0.230635750000000,31,0xE2,
0.230646750000000,31,0x55,
0.233378000000000,31,0x00,
0.233389500000000,31,0x41,
0.233400500000000,31,0xBF,
0.233411500000000,31,0xE2,
0.233422500000000,31,0x56,
0.233635000000000,31,0x00,
0.233646000000000,31,0x01,
0.233657000000000,31,0xBF,
0.233668000000000,31,0xE2,
0.233679000000000,31,0x92,
